individu_ville,mapping
-1,N/A
VILLE DE SAINT-JOSEPH-DE-BEAUCE,SAINT-JOSEPH-DE-BEAUCE
ANJOU,ANJOU
ARMAGH,ARMAGH
BEAUCEVILLE,BEAUCEVILLE
BEAULAC-GARTHBY,BEAULAC-GARTHBY
BEAUMONT,BEAUMONT
BEAUPORT,BEAUPORT
BOUCHERVILLE,BOUCHERVILLE
BROSSARD,BROSSARD
CANTLEY,CANTLEY
CHATEAU-RICHER,CHATEAU-RICHER
CHATEAUGUAY,CHATEAUGUAY
CHIBOUGAMAU,CHIBOUGAMAU
CHILLIWACK,CHILLIWACK
CLERMONT,CLERMONT
COATICOOK,COATICOOK
CONTRECOEUR,CONTRECOEUR
DELSON,DELSON
DRUMMONDVILLE,DRUMMONDVILLE
EDGEWATER,EDGEWATER
EDMONTON,EDMONTON
FRAMPTON,FRAMPTON
GATINEAU,GATINEAU
GRANBY,GRANBY
GREENFIELD PARK,GREENFIELD PARK
HONFLEUR,HONFLEUR
L'ANCIENNE-LORETTE,L'ANCIENNE-LORETTE
LA MALBAIE,LA MALBAIE
LA PRAIRIE,LA PRAIRIE
LAC BEAUPORT,LAC BEAUPORT
LAC POULIN,LAC POULIN
LAC-ETCHEMIN,LAC-ETCHEMIN
LAC-POULIN,LAC-POULIN
LAVAL,LAVAL
LEBEL-SUR-QUEVILLON,LEBEL-SUR-QUEVILLON
LEDUC COUNTY,LEDUC COUNTY
LEVIS,LEVIS
LEWINSTON,LEWINSTON
LONGUEUIL,LONGUEUIL
MAGOG,MAGOG
MASCOUCHE,MASCOUCHE
MCMASTERVILLE,MCMASTERVILLE
MELBOURNE,MELBOURNE
MIRABEL,MIRABEL
MISSISSAUGA,MISSISSAUGA
MONTREAL,MONTREAL
MONTREAL-NORD,MONTREAL-NORD
NAPLES,NAPLES
NASHUA,NASHUA
NICOLET,NICOLET
NOTRE-DAME-DES-PINS,NOTRE-DAME-DES-PINS
OKOTOKS,OKOTOKS
ORLEANS,ORLEANS
OTTAWA,OTTAWA
OUTREMONT,OUTREMONT
PLESSISVILLE,PLESSISVILLE
POINTE-AUX-OUTARDES,POINTE-AUX-OUTARDES
PONT-ROUGE,PONT-ROUGE
PREVOST,PREVOST
QUEBEC,QUEBEC
RANDOLPH,RANDOLPH
REPENTIGNY,REPENTIGNY
RIVIERE-DU-LOUP,RIVIERE-DU-LOUP
ROCK FOREST,ROCK FOREST
ROSEMERE,ROSEMERE
SAINT-AGAPIT,SAINT-AGAPIT
SAINT-ALEXIS-DES-MONTS,SAINT-ALEXIS-DES-MONTS
SAINT-ALPHONSE-RODRIGUEZ,SAINT-ALPHONSE-RODRIGUEZ
SAINT-AMABLE,SAINT-AMABLE
SAINT-ANICET,SAINT-ANICET
SAINT-ANSELME,SAINT-ANSELME
SAINT-ANTOINE-DE-TILLY,SAINT-ANTOINE-DE-TILLY
SAINT-APOLINAIRE,SAINT-APOLINAIRE
SAINT-AUGUSTIN-DE-DESMAURES,SAINT-AUGUSTIN-DE-DESMAURES
SAINT-BENJAMIN,SAINT-BENJAMIN
SAINT-BERNARD,SAINT-BERNARD
SAINT-COME-LINIERE,SAINT-COME-LINIERE
SAINT-CONSTANT,SAINT-CONSTANT
SAINT-ELZEAR,SAINT-ELZEAR
SAINT-EMILE,SAINT-EMILE
SAINT-EPHREM-DE-BEAUCE,SAINT-EPHREM-DE-BEAUCE
SAINT-EUSTACHE,SAINT-EUSTACHE
SAINT-FRANCOIS-DE-L'ILE-D'ORLEANS,SAINT-FRANCOIS-DE-L'ILE-D'ORLEANS
SAINT-FREDERIC,SAINT-FREDERIC
SAINT-GABRIEL-DE-VALCARTIER,SAINT-GABRIEL-DE-VALCARTIER
SAINT-GEDEON-DE-BEAUCE,SAINT-GEDEON-DE-BEAUCE
SAINT-GEORGES,SAINT-GEORGES
SAINT-HENRI,SAINT-HENRI
SAINT-HONORE-DE-SHENLEY,SAINT-HONORE-DE-SHENLEY
SAINT-HUBERT,SAINT-HUBERT
SAINT-HYACINTHE,SAINT-HYACINTHE
SAINT-ISIDORE,SAINT-ISIDORE
SAINT-JEAN-DE-LA-LANDE,SAINT-JEAN-DE-LA-LANDE
SAINT-JEAN-SUR-RICHELIEU,SAINT-JEAN-SUR-RICHELIEU
SAINT-JOSEPH-DE-BEAUCE,SAINT-JOSEPH-DE-BEAUCE
SAINT-JOSEPH-DES-ERABLES,SAINT-JOSEPH-DES-ERABLES
SAINT-JULES,SAINT-JULES
Saint-Lambert-de-Lauzon,SAINT-LAMBERT-DE-LAUZON
SAINT-LAZARE-DE-BELLECHASSE,SAINT-LAZARE-DE-BELLECHASSE
SAINT-LAZARRE-DE-BELLECHASSE,SAINT-LAZARRE-DE-BELLECHASSE
SAINT-LEON-DE-STANDON,SAINT-LEON-DE-STANDON
SAINT-MALACHIE,SAINT-MALACHIE
SAINT-MATHIEU-DE-BELOEIL,SAINT-MATHIEU-DE-BELOEIL
SAINT-MICHEL-DE-NAPIERVILLE,SAINT-MICHEL-DE-NAPIERVILLE
SAINT-NARCISSE-DE-BEAURIVAGE,SAINT-NARCISSE-DE-BEAURIVAGE
SAINT-NAZAIRE-DE-DORCHESTER,SAINT-NAZAIRE-DE-DORCHESTER
SAINT-ODILON-DE-CRANBOURNE,SAINT-ODILON-DE-CRANBOURNE
SAINT-PAUL-D'ABBOTSFORD,SAINT-PAUL-D'ABBOTSFORD
SAINT-PHILIBERT,SAINT-PHILIBERT
SAINT-PIERRE-ILE-D'ORLEANS,SAINT-PIERRE-ILE-D'ORLEANS
SAINT-PROSPER,SAINT-PROSPER
SAINT-RENE,SAINT-RENE
SAINT-ROBERT,SAINT-ROBERT
SAINT-SIMON-LES-MINES,SAINT-SIMON-LES-MINES
Saint-Sulpice,SAINT-SULPICE
SAINT-SYLVESTRE,SAINT-SYLVESTRE
SAINT-VICTOR,SAINT-VICTOR
SAINT-ZACHARIE,SAINT-ZACHARIE
SAINTE-AGATHE-DES-MONTS,SAINTE-AGATHE-DES-MONTS
SAINTE-ANNE,SAINTE-ANNE
Sainte-Anne-de-Beaupré,SAINTE-ANNE-DE-BEAUPRÉ
SAINTE-CATHERINE-DE-LA-JACQUES-CARTIER,SAINTE-CATHERINE-DE-LA-JACQUES-CARTIER
SAINTE-CLAIRE,SAINTE-CLAIRE
SAINTE-DOROTHEE,SAINTE-DOROTHEE
SAINTE-GERMAINE,SAINTE-GERMAINE
SAINTE-HENEDINE,SAINTE-HENEDINE
SAINTE-JUSTINE,SAINTE-JUSTINE
SAINTE-MARGUERITE,SAINTE-MARGUERITE
SAINTE-MARIE,SAINTE-MARIE
SAINTE-MARIE-DE-BEAUCE,SAINTE-MARIE-DE-BEAUCE
SAINTE-MARTHE-SUR-LE-LAC,SAINTE-MARTHE-SUR-LE-LAC
SAINTE-ROSE-DE-WATFORD,SAINTE-ROSE-DE-WATFORD
SAINTS-ANGES,SAINTS-ANGES
SAITNE-MARIE,SAITNE-MARIE
SAWYERVILLE,SAWYERVILLE
SCOTT,SCOTT
SHAWINIGAN-SUD,SHAWINIGAN-SUD
SHERBROOKE,SHERBROOKE
SOOKE,SOOKE
STOKE,STOKE
TERREBONNE,TERREBONNE
THETFORD MINES,THETFORD MINES
TORONTO,TORONTO
TRING-JONCTION,TRING-JONCTION
TROIS-RIVIERES,TROIS-RIVIERES
Trudel,TRUDEL
VAL-DAVID,VAL-DAVID
VALLEE-JONCTION,VALLEE-JONCTION
VAUDREUIL-DORION,VAUDREUIL-DORION
VERDUN,VERDUN
VICTORIAVILLE,VICTORIAVILLE
VILLE DE BEAUCEVILLE,BEAUCEVILLE
VILLE SAINT-JOSEPH-DE-BEAUCE,SAINT-JOSEPH-DE-BEAUCE
WESTMOUNT,WESTMOUNT
WINDSOR,WINDSOR
YOUNGSVILLE,YOUNGSVILLE
